기관유형,기관명,기관코드,하위기관수,총구매액,녹색구매액,구매비율,연도
국가기관,감사원,1040000,0,829492511,508336711,61.3,2021
국가기관,검찰청,1280000,67,10211716160,7275775130,71.2,2021
국가기관,경찰청,1320000,772,107101100770,46461016881,43.4,2021
국가기관,고용노동부,1492000,67,8771220919,4939921172,56.3,2021
국가기관,공정거래위원회,1130000,6,854839440,742115620,86.8,2021
국가기관,관세청,1220000,79,14449094736,3736018259,25.9,2021
국가기관,교육부,1342000,769,169469293797,82291499744,48.6,2021
국가기관,국가보훈처,1180000,49,5542319520,1327141046,23.9,2021
국가기관,국가인권위원회,1620000,6,145363570,122446270,84.2,2021
국가기관,국무조정실,1092000,4,872098410,770582950,88.4,2021
국가기관,국민권익위원회,1140100,3,357941800,265593400,74.2,2021
국가기관,국방부,1290000,538,420939891879,107155289250,25.5,2021
국가기관,국세청,1210000,183,20778645165,14385604250,69.2,2021
국가기관,국토교통부,1613000,116,339368159491,40620420843,12.0,2021
국가기관,국회 국회사무처,9710000,0,2554218621,1229032620,48.1,2021
국가기관,금융위원회,1160100,1,215145900,160170200,74.4,2021
국가기관,기상청,1360000,92,3469976383,1428842369,41.2,2021
국가기관,기획재정부,1051000,4,444572000,307550400,69.2,2021
국가기관,농림축산식품부,1543000,297,8991429790,4246288446,47.2,2021
국가기관,농촌진흥청,1390000,22,8815846068,3384420344,38.4,2021
국가기관,대법원,9740000,304,54639367692,13885353989,25.4,2021
국가기관,문화재청,1550000,26,6966952216,2077466970,29.8,2021
국가기관,문화체육관광부,1371000,45,15206822763,5024694690,33.0,2021
국가기관,과학기술정보통신부,1721000,3069,34207595826,10190012641,29.8,2021
국가기관,방송통신위원회,1570100,0,198389910,126878210,64.0,2021
국가기관,방위사업청,1690000,3,1581007500,645846500,40.9,2021
국가기관,법무부,1270000,255,39494685745,11923920553,30.2,2021
국가기관,법제처,1170000,0,212537500,162213900,76.3,2021
국가기관,병무청,1300000,19,2085874242,999874530,47.9,2021
국가기관,보건복지부,1352000,15,3907291908,1966271412,50.3,2021
국가기관,산림청,1400000,96,16059714691,2776753522,17.3,2021
국가기관,산업통상자원부,1450000,44,1270838868,790329950,62.2,2021
국가기관,소방청,1661000,3,1896016689,732027399,38.6,2021
국가기관,새만금개발청,1730000,1,25976353842,398694908,1.5,2021
국가기관,식품의약품안전처,1471000,8,3237594739,1402716140,43.3,2021
국가기관,여성가족부,1383000,0,2453923982,794557340,32.4,2021
국가기관,외교부,1262000,7,4370145085,2598861525,59.5,2021
국가기관,원자력안전위원회,1079960,1,218856400,180561800,82.5,2021
국가기관,인사혁신처,1760000,5,901197083,548069600,60.8,2021
국가기관,조달청,1230000,45,7660317240,2727591950,35.6,2021
국가기관,중소벤처기업부,1421000,21,3498682735,2068164100,59.1,2021
국가기관,중앙선거관리위원회,9760000,286,3202310437,1871359717,58.4,2021
국가기관,통계청,1240000,53,2684275382,1152479272,42.9,2021
국가기관,통일부,1250000,9,1304742525,507416073,38.9,2021
국가기관,특허청,1430000,5,1490036480,404010860,27.1,2021
국가기관,해양수산부,1192000,90,89109217964,6311128327,7.1,2021
국가기관,해양경찰청,1532000,71,12136121725,4560866684,37.6,2021
국가기관,행정안전부,1741000,87,30107918851,14822535398,49.2,2021
국가기관,행정중심복합도시건설청,1670000,1,14728154663,5291240716,35.9,2021
국가기관,헌법재판소,9750000,1,313002156,251372960,80.3,2021
국가기관,환경부,1480000,34,9663376772,3672861596,38.0,2021
국가기관,질병관리청,1790387,21,2919865080,1661046720,56.9,2021
지방자치단체,서울특별시,6110000,1082,171395031652,55848773124,32.6,2021
지방자치단체,서울특별시 종로구,3000000,56,10320909665,4707706802,45.6,2021
지방자치단체,서울특별시 중구,3010000,52,7732189318,2757894479,35.7,2021
지방자치단체,서울특별시 용산구,3020000,57,7965814463,3186326324,40.0,2021
지방자치단체,서울특별시 성동구,3030000,60,16049454624,5103415160,31.8,2021
지방자치단체,서울특별시 광진구,3040000,60,11378295523,4728126915,41.6,2021
지방자치단체,서울특별시 동대문구,3050000,63,11391663469,4459675948,39.1,2021
지방자치단체,서울특별시 중랑구,3060000,64,13819902695,3778582692,27.3,2021
지방자치단체,서울특별시 성북구,3070000,59,14011665843,5124452513,36.6,2021
지방자치단체,서울특별시 강북구,3080000,51,8792768307,3905010854,44.4,2021
지방자치단체,서울특별시 도봉구,3090000,60,14829029126,5832092572,39.3,2021
지방자치단체,서울특별시 노원구,3100000,108,18279963720,5893965680,32.2,2021
지방자치단체,서울특별시 은평구,3110000,64,13302699348,4513388271,33.9,2021
지방자치단체,서울특별시 서대문구,3120000,57,11178524354,5964603981,53.4,2021
지방자치단체,서울특별시 마포구,3130000,61,9564974770,4774081910,49.9,2021
지방자치단체,서울특별시 양천구,3140000,64,11473665210,7485875564,65.2,2021
지방자치단체,서울특별시 강서구,3150000,55,13548944647,5682710940,41.9,2021
지방자치단체,서울특별시 구로구,3160000,70,11257339853,6718764493,59.7,2021
지방자치단체,서울특별시 금천구,3170000,57,12680961087,3708401085,29.2,2021
지방자치단체,서울특별시 영등포구,3180000,65,14117627921,5959886617,42.2,2021
지방자치단체,서울특별시 동작구,3190000,60,10636509402,3831701450,36.0,2021
지방자치단체,서울특별시 관악구,3200000,68,15470807871,5263575967,34.0,2021
지방자치단체,서울특별시 서초구,3210000,60,13219449141,4789034853,36.2,2021
지방자치단체,서울특별시 강남구,3220000,78,24034026245,9488248039,39.5,2021
지방자치단체,서울특별시 송파구,3230000,80,20201904194,5898017885,29.2,2021
지방자치단체,서울특별시 강동구,3240000,80,13344583877,5386278377,40.4,2021
지방자치단체,부산광역시,6260000,178,27855414676,16144483301,58.0,2021
지방자치단체,부산광역시 중구,3250000,27,1659054602,887111752,53.5,2021
지방자치단체,부산광역시 서구,3260000,35,2419729988,1374387735,56.8,2021
지방자치단체,부산광역시 동구,3270000,37,3887286164,2640369344,67.9,2021
지방자치단체,부산광역시 영도구,3280000,33,3200657832,1741383423,54.4,2021
지방자치단체,부산광역시 부산진구,3290000,47,6612481821,2696684383,40.8,2021
지방자치단체,부산광역시 동래구,3300000,41,3480329629,2333759600,67.1,2021
지방자치단체,부산광역시 남구,3310000,58,3604914441,1975541318,54.8,2021
지방자치단체,부산광역시 북구,3320000,58,3691434798,2186116916,59.2,2021
지방자치단체,부산광역시 해운대구,3330000,66,5186037640,3397026483,65.5,2021
지방자치단체,부산광역시 사하구,3340000,53,4660469099,2967285999,63.7,2021
지방자치단체,부산광역시 금정구,3350000,57,5342509149,3502522859,65.6,2021
지방자치단체,부산광역시 강서구,3360000,33,5104236551,2646589335,51.9,2021
지방자치단체,부산광역시 연제구,3370000,38,3873595582,1881479172,48.6,2021
지방자치단체,부산광역시 수영구,3380000,36,4034446925,2732929940,67.7,2021
지방자치단체,부산광역시 사상구,3390000,37,2789501951,1526956351,54.7,2021
지방자치단체,부산광역시 기장군,3400000,38,13286029660,6842537596,51.5,2021
지방자치단체,대구광역시,6270000,172,24173297575,13445616144,55.6,2021
지방자치단체,대구광역시 중구,3410000,35,2533924930,1429746110,56.4,2021
지방자치단체,대구광역시 동구,3420000,58,5024597873,2192213850,43.6,2021
지방자치단체,대구광역시 서구,3430000,41,3987228614,1668618253,41.8,2021
지방자치단체,대구광역시 남구,3440000,39,3249516838,960466150,29.6,2021
지방자치단체,대구광역시 북구,3450000,61,5887141901,2400015581,40.8,2021
지방자치단체,대구광역시 수성구,3460000,60,6734324341,3196564855,47.5,2021
지방자치단체,대구광역시 달서구,3470000,55,8998482327,4936349375,54.9,2021
지방자치단체,대구광역시 달성군,3480000,46,19169692042,6891535656,36.0,2021
지방자치단체,인천광역시,6280000,233,94701115289,31888128177,33.7,2021
지방자치단체,인천광역시 중구,3490000,52,11339220151,4310966254,38.0,2021
지방자치단체,인천광역시 동구,3500000,43,4720449944,1751107186,37.1,2021
지방자치단체,인천광역시 미추홀구,3510500,81,9664135425,4422117310,45.8,2021
지방자치단체,인천광역시 연수구,3520000,59,5778587109,3733663092,64.6,2021
지방자치단체,인천광역시 남동구,3530000,66,17071309520,7322741517,42.9,2021
지방자치단체,인천광역시 부평구,3540000,81,12271204416,5355155271,43.6,2021
지방자치단체,인천광역시 계양구,3550000,55,11451585016,5031751073,43.9,2021
지방자치단체,인천광역시 서구,3560000,77,23409569054,7420091198,31.7,2021
지방자치단체,인천광역시 강화군,3570000,49,26926646477,7221525040,26.8,2021
지방자치단체,인천광역시 옹진군,3580000,31,5351262984,2611740979,48.8,2021
지방자치단체,광주광역시,6290000,175,34907114188,17051672917,48.8,2021
지방자치단체,광주광역시 동구,3590000,44,5396040777,1602892198,29.7,2021
지방자치단체,광주광역시 서구,3600000,57,6248042583,3472031268,55.6,2021
지방자치단체,광주광역시 남구,3610000,61,6665635617,3184527477,47.8,2021
지방자치단체,광주광역시 북구,3620000,75,12161898636,5356467428,44.0,2021
지방자치단체,광주광역시 광산구,3630000,89,8841548268,3489390641,39.5,2021
지방자치단체,대전광역시,6300000,234,46261090062,15173177174,32.8,2021
지방자치단체,대전광역시 동구,3640000,53,8481724291,3253426750,38.4,2021
지방자치단체,대전광역시 중구,3650000,53,4219662588,2152875297,51.0,2021
지방자치단체,대전광역시 서구,3660000,58,8535045859,4845646535,56.8,2021
지방자치단체,대전광역시 유성구,3670000,45,10085341202,3512711308,34.8,2021
지방자치단체,대전광역시 대덕구,3680000,53,8497095313,3263245869,38.4,2021
지방자치단체,울산광역시,6310000,152,34329916523,9499682625,27.7,2021
지방자치단체,울산광역시 중구,3690000,48,8174357934,3137440958,38.4,2021
지방자치단체,울산광역시 남구,3700000,52,5977738249,2711426773,45.4,2021
지방자치단체,울산광역시 동구,3710000,32,3987523728,1199381343,30.1,2021
지방자치단체,울산광역시 북구,3720000,34,7877690589,3271516539,41.5,2021
지방자치단체,울산광역시 울주군,3730000,51,23931238272,5054272386,21.1,2021
지방자치단체,세종특별자치시,5690000,94,34068581900,8307605294,24.4,2021
지방자치단체,경기도,6410000,254,90731088711,22168379197,24.4,2021
지방자치단체,경기도 수원시,3740000,219,28137298434,13984473655,49.7,2021
지방자치단체,경기도 고양시,3940000,290,47282383568,18483552334,39.1,2021
지방자치단체,경기도 용인시,4050000,231,59237024462,27500349546,46.4,2021
지방자치단체,경기도 성남시,3780000,195,39639714048,19444631016,49.1,2021
지방자치단체,경기도 부천시,3860000,242,32274232777,14158297206,43.9,2021
